Staten Island Rolling Sales File.  All Sales From August 2012 - August 2013. ,,,,,,,,,,,,,,,,,,,,
Sales File as of 08/30/2013  Coop Sales Files as of 09/18/2013,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 09/06/13, Descriptive Data is as of 06/01/13",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,"APART
MENT
NUMBER",ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,"SALE
PRICE",SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6269,47, ,A1, 237 STAFFORD AVENUE                       ,            ,10312,1,0,1,"4,000","1,360",1930, 1 , A1 ,"$340,000",10/26/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6271,15, ,A1, 472 JEFFERSON BOULEVARD                   ,            ,10312,1,0,1,"8,000","1,708",1940, 1 , A1 ,"$540,000",1/14/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6278,1, ,A2, 275 EDGEGROVE AVENUE                      ,            ,10312,1,0,1,"4,900","1,084",1955, 1 , A2 ,$0,10/9/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6278,56, ,A2, 350 IONIA AVENUE                          ,            ,10312,1,0,1,"4,000","1,170",1960, 1 , A2 ,$0,12/19/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6280,35, ,A2, 157 NORTH RAILROAD ST                     ,            ,10312,1,0,1,"4,080","1,596",1955, 1 , A2 ,$0,1/16/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6281,28, ,A1, 360 IONIA AVENUE                          ,            ,10312,1,0,1,"3,600","2,100",1979, 1 , A1 ,$0,9/25/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6298,5, ,A2, 116 RAMONA AVENUE                         ,            ,10312,1,0,1,"4,000","2,220",1974, 1 , A2 ,$0,9/19/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6298,28, ,A2, 182 HEENAN AVENUE                         ,            ,10312,1,0,1,"4,000","1,932",1974, 1 , A2 ,$0,9/17/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6299,31, ,A1, 162 HEENAN AVENUE                         ,            ,10312,1,0,1,"4,000","3,025",1999, 1 , A1 ,"$630,000",7/1/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6299,42, ,A1, 77 RAMONA AVENUE                          ,            ,10312,1,0,1,"4,000","2,669",1974, 1 , A1 ,"$715,000",2/15/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6303,4, ,A1, 394 STAFFORD AVENUE                       ,            ,10312,1,0,1,"12,000","2,520",1980, 1 , A1 ,$0,4/30/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6305,109, ,A3, 365 VINELAND AVENUE                       ,            ,10312,1,0,1,"11,500","4,096",1990, 1 , A3 ,$0,8/2/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6320,5, ,A2, 192 ALBEE AVENUE                          ,            ,10312,1,0,1,"8,000","2,352",1970, 1 , A2 ,$0,8/7/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6320,50, ,A2, 102 BUFFINGTON AVENUE                     ,            ,10312,1,0,1,"4,000","1,125",1965, 1 , A2 ,$0,9/5/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6321,4, ,A2, 23 ALVINE AVENUE                          ,            ,10312,1,0,1,"4,400",988,1935, 1 , A2 ,$0,12/21/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6322,6, ,A2, 250 ALBEE AVENUE                          ,            ,10312,1,0,1,"8,000","1,432",1960, 1 , A2 ,"$500,000",10/24/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6323,30, ,A1, 20 ALVINE AVENUE                          ,            ,10312,1,0,1,"7,520","1,976",1935, 1 , A1 ,$0,8/4/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6353,12, ,A1, 118 PEARE PLACE                           ,            ,10312,1,0,1,"9,003","3,000",1984, 1 , A1 ,$0,8/30/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6369,20, ,A1, 290 KOCH BOULEVARD                        ,            ,10312,1,0,1,"9,900","3,000",1986, 1 , A1 ,$0,11/27/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6370,45, ,A1, 286 HOLDRIDGE AVENUE                      ,            ,10312,1,0,1,"6,790","2,550",1975, 1 , A1 ,"$600,000",10/17/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6377,27, ,A1, 122 EYLANDT STREET                        ,            ,10312,1,0,1,"8,000","3,040",1987, 1 , A1 ,"$875,000",1/18/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6378,1, ,A1, 161 EYLANDT STREET                        ,            ,10312,1,0,1,"6,100","2,370",1970, 1 , A1 ,"$625,000",12/27/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6382,69, ,A1, 145 TALLMAN STREET                        ,            ,10312,1,0,1,"8,000","2,800",1983, 1 , A1 ,"$672,000",7/10/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6399,12, ,A2, 86 ALLEN PLACE                            ,            ,10312,1,0,1,"5,600","1,104",1930, 1 , A2 ,"$220,000",2/27/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6401,21, ,A2, 33 ALLEN PLACE                            ,            ,10312,1,0,1,"8,000","1,104",1955, 1 , A2 ,$0,12/11/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6425,40, ,A1, 76 RAE AVENUE                             ,            ,10312,1,0,1,"4,000","1,278",1935, 1 , A1 ,"$375,000",9/19/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6441,96, ,A1, 4 DOLE STREET                             ,            ,10312,1,0,1,"4,800",972,1925, 1 , A1 ,"$385,000",9/10/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6442,7, ,A3, 309 POILLON AVENUE                        ,            ,10312,1,0,1,"8,645","4,890",2004, 1 , A3 ,$0,12/21/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6455,28, ,A1, 404 POILLON AVENUE                        ,            ,10312,1,0,1,"5,859","2,913",1997, 1 , A1 ,"$850,000",8/17/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6460,7, ,A1, 28 ALLEGRO STREET                         ,            ,10312,1,0,1,"4,980","3,316",1998, 1 , A1 ,$0,2/28/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6469,105, ,A2, 94 POILLON AVENUE                         ,            ,10312,1,0,1,"13,747","1,280",1960, 1 , A2 ,"$490,000",5/31/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,150, ,A3, 151 NICOLOSI DRIVE                        ,            ,10312,1,0,1,"21,065","8,380",1997, 1 , A3 ,"$2,450,000",8/9/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,162, ,A3, 160 NICOLOSI DRIVE                        ,            ,10312,1,0,1,"10,480","5,707",1989, 1 , A3 ,$10,12/6/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,162, ,A3, 160 NICOLOSI DRIVE                        ,            ,10312,1,0,1,"10,480","5,707",1989, 1 , A3 ,$10,12/6/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6475,521, ,A5, 353 ARBUTUS AVENUE                        ,            ,10312,1,0,1,"2,285","1,922",2011, 1 , A5 ,"$469,000",1/24/2013
