"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apart.ment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"201",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,311," ","A5","163 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"1,972","1,991",2012,1,"A5","$461,370",2013-03-11,461370,1991,1972,0
"202",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,312," ","A5","161 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"1,972","1,991",2012,1,"A5","$451,230",2012-10-19,451230,1991,1972,0
"203",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,313," ","A5","159 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"1,972","1,991",2012,1,"A5","$461,370",2012-09-14,461370,1991,1972,0
"204",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,315," ","A5","157 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"3,884","2,484",2012,1,"A5","$544,763",2013-04-17,544763,2484,3884,0
"205",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,318," ","A5","147 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"2,230","1,991",2011,1,"A5","$455,000",2012-10-04,455000,1991,2230,0
"206",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,321," ","A5","141 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"2,388","1,991",2011,1,"A5","$461,370",2012-10-03,461370,1991,2388,0
"207",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,323," ","A5","137 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"4,577","1,991",2011,1,"A5","$451,230",2012-11-15,451230,1991,4577,0
"208",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,340," ","A5","172 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"2,499","1,991",2011,1,"A5","$471,408",2012-12-17,471408,1991,2499,0
"210",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,346," ","A5","192 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"2,466","1,991",2011,1,"A5","$446,160",2012-08-21,446160,1991,2466,0
"211",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,348," ","A5","196 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"2,497","1,991",2011,1,"A5","$461,370",2012-08-14,461370,1991,2497,0
"212",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,355," ","A5","212 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"1,972","1,991",2011,1,"A5","$451,230",2013-04-25,451230,1991,1972,0
"213",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,356," ","A5","214 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"1,972","1,991",2011,1,"A5","$451,230",2013-02-15,451230,1991,1972,0
"214",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,358," ","A5","218 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"1,972","1,991",2011,1,"A5","$470,000",2013-05-29,470000,1991,1972,0
"215",5,"ARDEN HEIGHTS            ","01  ONE FAMILY HOMES                        ","1",5735,360," ","A5","205 PRESENTATION CIRCLE                  ","            ",10312,1,0,1,"7,716","3,314",2012,1,"A5","$575,311",2013-05-02,575311,3314,7716,0
